user,name,created,tweet,location
Aletheia_Cadie,ALICIA,2019-10-10 23:59:59,"RT @jonviene: Hablando sobre la adopción por parte de personas homosexuales, Abascal prácticamente ha dicho: ""Hombre, si les sobra un niño…","Valencia, España"
JusaFernando,Fernando_jusa,2019-10-10 23:59:59,"RT @ManhattanManOne: No he podido ver el programa, pero este corte de @Santi_ABASCAL “Yo donaría  primero para el Amazonas, porque la obra…",
alber_gme,Alber,2019-10-10 23:59:59,"RT @FonsiLoaiza: Abascal se afilió al PP con 18 años y ha tenido 9 cargos. A sus 43 años no ha cotizado nunca fuera de la política, ha cobr…",Daimiel 
EEvadidac,Eva moura gonzalez,2019-10-10 23:59:58,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Nosotros defendemos la ley de legítima defensa. Que una persona pueda defender su propie…",
AmatRoig,catalina amat roig,2019-10-10 23:59:57,"RT @AnabelAlonso_of: ""La mujer que quiera va a abortar pero no tendrá ayuda pública""
Santiago Abascal.
Osea, las que no tengan recursos se…","Illes Balears, Espanya"
alexurg112,Alexurg112,2019-10-10 23:59:56,"@ManhattanManOne @vox_es @Santi_ABASCAL Zascaaaaa!  Qué te pensabas, pablito?",
Danparuta,Danidebradley,2019-10-10 23:59:56,RT @janogarcia_: Qué triste que Pablo Motos tenga que justificar la invitación a @Santi_ABASCAL porque una banda totalitaria quiere impedir…,Brasil
gcs9s,🚫🐶🎺,2019-10-10 23:59:56,"RT @_Sapientiae: Cuando te mola más un comunista que no tiene pudor en levantar el puño, que homenajea al Che homófobo, que ríe con azotar…",
MARCORBE,Maria,2019-10-10 23:59:56,"@El_Hormiguero @Santi_ABASCAL Pablo Motos, está claro que sólo puedes presentar un programa de entretenimiento. Par… https://t.co/sHkJ6zGLdt",badajoz
ColchoneroG,Paco (el poder de la vara),2019-10-10 23:59:56,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Somos los únicos que no permitiríamos que salgan los violadores de mujeres de las cárcel…",
MarinaPizcopi,Marina PizcoPí ♪,2019-10-10 23:59:55,"RT @luciacuervas: Abascal: ""Yo también represento al colectivo homosexual, no se por que se nos acusa de homófobos""  #SantiagoAbascalEH htt…",
danisalvita,Daniel a secas de vox❤🇪🇦😘🇪🇦❤,2019-10-10 23:59:55,"RT @pasandoeldia1: 🇪🇸@Santi_ABASCAL en @El_Hormiguero 
💪🏻Cualquier persona, en legítima defensa, debería poder defender su propiedad y su f…","Getafe, España"
oihanefraile,O I H A N E ⚘,2019-10-10 23:59:55,"RT @AnabelAlonso_of: ""La mujer que quiera va a abortar pero no tendrá ayuda pública""
Santiago Abascal.
Osea, las que no tengan recursos se…",Bilbao
SilvanaAloap,Paola,2019-10-10 23:59:55,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Somos los únicos que no permitiríamos que salgan los violadores de mujeres de las cárcel…",
MaruiaSpain,Maruia,2019-10-10 23:59:53,"RT @numer344: Corregidme si me equivoco, pero... ¿Aquellos que están pidiendo el boicot a Cuatro por entrevistar a Santiago Abascal, no son…",Reino de España
Garmine10,Garmine,2019-10-10 23:59:53,RT @fjosealcaraz: Muchos españoles empiezan a conocer quién y cómo es @Santi_ABASCAL . Quienes lo conocemos desde hace años no nos sorprend…,Cangas de Onis - Malaga 
Soy_Eleazar,Eleazar MARTÍNEZ,2019-10-10 23:59:52,"RT @hermanntertsch: La autenticidad de @Santi_ABASCAL no tiene rival en la politica española. Nadie, ninguno, ni de lejos. https://t.co/nHB…","Caracas, Venezuela"
AitorIrurezube,Aitor Iruretagoyena,2019-10-10 23:59:51,@chikitosan1 @Mryinyangfc @perlalaura @El_Hormiguero @Santi_ABASCAL Pues así es.... Suicidate antes de perder esa c… https://t.co/RYNE3f9u6L,
iopp,uno mas,2019-10-10 23:59:51,"RT @ManhattanManOne: No he podido ver el programa, pero este corte de @Santi_ABASCAL “Yo donaría  primero para el Amazonas, porque la obra…","Gatineau, Québec"
JMRubenJM,BetaKam/❤️ #SomosActivistas    #LaEspañaQueQuieres,2019-10-10 23:59:50,"RT @AndaluciaSinVOX: Los socios de PP y C,s : Abascal lo tiene claro  ilegalizaría el aborto: ""Lo que la mujer lleva dentro no es su cuerpo…",
isramadrigal,Israel Madrigal ن,2019-10-10 23:59:49,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Ordenaría la detención de Torra, la suspensión de la autonomía de Cataluña, cerrar TV3 y…","Pinto (Madrid), España"
Mara19591,María 1959,2019-10-10 23:59:48,"RT @eSPAINews: 📢 @Santi_ABASCAL, hoy en @El_Hormiguero: «Defendería la frontera de #Melilla con muros más grandes si es necesario y en segu…",
calixtaberry,Calixta Berry,2019-10-10 23:59:48,RT @hermanntertsch: Tiene suerte Motos. Gracias a Santiago Abascal verán el programa quienes jamás lo hacemos. https://t.co/GGj9X1hV7T,España
RogelioHepburn,Rogelio Hepburn Alejandre,2019-10-10 23:59:48,"@Unnefer11 @El_Hormiguero @Santi_ABASCAL A ver señores, que Pablo ya se sabe cómo piensa, pero ha sido demócrata, h… https://t.co/BCSM3fOZdk","Seville, Spain"
Moseguello,Ŧløκι🇪🇸,2019-10-10 23:59:47,RT @MuyLiberal: La diferencia entre @Santi_ABASCAL y los demás es que él no pretende agradar a todo el mundo ni pide el voto de todos. @vox…,España
GascoJuanjo,Juanjo Gasco,2019-10-10 23:59:47,"RT @JuanfraEscudero: 🗣Ultimátum de Abascal a sus concejales de Roquetas: o se bajan el sueldo o a la puta calle. 

👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻

Bien p…",Torrent (Valencia) España🇪🇸
8_albi,Alba Peláez Rivero,2019-10-10 23:59:46,"RT @luciacuervas: Abascal: ""Yo también represento al colectivo homosexual, no se por que se nos acusa de homófobos""  #SantiagoAbascalEH htt…","Gijón, España"
oscarcaba96,Ø.,2019-10-10 23:59:46,RT @LaResistencia: Abascal en El Hormiguero y Piqué en La Resistencia. Las dos Españas.,
PaulaDelgado0,Pauli,2019-10-10 23:59:46,RT @albertoluni: Pablo Motos cada vez que intenta dejar en evidencia a Abascal y no lo consigue #SantiagoAbascalEH https://t.co/eWaZckMtn8,Málaga
JUANLU1974,Juanlu,2019-10-10 23:59:45,"RT @LaBella_2017: Todos estos han sido entrevistados varías veces @El_Hormiguero y nadie dijo nada, pero cuando por primera vez va @Santi_A…",
simplelifevicky,~ | Toska | ~,2019-10-10 23:59:45,"RT @Bichichi_: Muchos decís que el puto enano ha ido a atacar a Abascal, y a mí me ha parecido lo contrario, preguntándole cosas tan polémi…",Ponferrada. Valladolid
norwinds,Ｓｐｏｏｎｉ 🐺🌕,2019-10-10 23:59:45,@SolileoVI popper viendo a abascal en el hormiguero tia,"València, Espanya"
RaulitoTop,Raúl Valdueza,2019-10-10 23:59:45,"RT @Gaoh1: No me gustan ni Abascal ni Vox. Partiendo de esta base, si quereis libertad de expresion es para todo, guste o no.","Harvard, IL"
jonieg2,Juanma,2019-10-10 23:59:44,RT @WillyTolerdoo: Defensores de la libertad de expresión criticando que inviten a Abascal al Hormiguero.,
stefanysasso,Stefany Sasso,2019-10-10 23:59:43,RT @JuanfraEscudero: 🗣Dice Abascal en El Hormiguero que defendería la frontera de Melilla con muros más grandes si es necesario y mandaría…,
Jackie_yo_soy,Jackling,2019-10-10 23:59:43,"RT @PorHispania: #santiagoabascalEH

Una buena persona, sincera, legal, respetuosa. Una persona que mira a los ojos.

Ha bordado su presenc…",
VoxEuropas,Vox Europa🇪🇸🥜,2019-10-10 23:59:42,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Nosotros defendemos la ley de legítima defensa. Que una persona pueda defender su propie…",España
pallaron12,Flor María Fernández,2019-10-10 23:59:41,RT @JOSEMANUELSOTO1: Aqui sentado para ver a @Santi_ABASCAL en @El_Hormiguero y me entero de q el único líder q no ha querido ir es @sanche…,"Asturias ,Aviles."
rickygg17,Ricardo Gómez,2019-10-10 23:59:39,"RT @GandalfGris_: Qué relajadito Pablo Motos con Santiago Abascal, igualito que con Pablenin, ¿eh? #SantiagoAbascalEH https://t.co/ucZpQbHl…",
davidruiz56,DAVID ANGEL RUIZ,2019-10-10 23:59:39,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Ordenaría la detención de Torra, la suspensión de la autonomía de Cataluña, cerrar TV3 y…",Buenos Aires - Argentina
PaulaDelgado0,Pauli,2019-10-10 23:59:38,Que vergüenza de entrevista la de Pablo Motos a Santiago Abascal que poco respeto y que poca profesionalidad.  #SantiagoAbascalEH,Málaga
TheHecka,TheHecka,2019-10-10 23:59:37,"RT @AnabelAlonso_of: ""La mujer que quiera va a abortar pero no tendrá ayuda pública""
Santiago Abascal.
Osea, las que no tengan recursos se…",Spain
virtualmommyy,💔,2019-10-10 23:59:37,"@Comoloves2 He puesto un tweet sobre Santiago Abascal, y como no tiene defensa alguna, te metes con mi foto de perf… https://t.co/nNVoby0Ukm","Málaga, España"
CMe_2020,CM,2019-10-10 23:59:37,"RT @StarTrance1: 🇪🇸Grande Santi @Santi_ABASCAL🇪🇸
#SantiagoAbascalSiMeRepresenta
@vox_es 🇪🇸👊 https://t.co/ZAvgUnu1Jq",
msmoviedo,Marioviedo,2019-10-10 23:59:36,"RT @Mazzinguerzett1: Y después de está gran entrevista que estoy viendo de Santiago Abascal, sin tapujos, sin caer en las trampas y sin mie…","Oviedo, España"
ociocenter,🇪🇸🇪🇸ANGELA-🇪🇸🇪🇸,2019-10-10 23:59:36,"RT @TuiteroApostol: Intentento de tirar por el suelo a @Santi_ABASCAL  solo consiguió que luciera aún más un hombre con valores, lo que no…",
Koro75087160,Koro,2019-10-10 23:59:35,"RT @eljueves: En resumen, cuando Abascal intenta quedar bien y mide las palabras parece lo que ha sido siempre: un pepero más.","Comunidad de Madrid, España"
Megawif,Mega,2019-10-10 23:59:35,"RT @espartano533: Pablo Motos ha buscado embarrar el terreno, pero es que Santiago Abascal se explica muy bien, habla claro y sobre todo ti…",Embajadores fuera!
MaruiaSpain,Maruia,2019-10-10 23:59:35,RT @JuanfraEscudero: 🗣️Los que critican que Pablo Motos entreviste a Santiago Abascal son los mismos que decían que Otegi tenía derecho a s…,Reino de España
JusaFernando,Fernando_jusa,2019-10-10 23:59:34,"RT @firerats2: Abascal repeliendo los ataques continuos, perdón, las preguntas de Pablo Motos.

#SantiagoAbascalEH https://t.co/8gz9Y3tvn8",
TenJoaquin,joaquin albertos ten,2019-10-10 23:59:34,"RT @numer344: Corregidme si me equivoco, pero... ¿Aquellos que están pidiendo el boicot a Cuatro por entrevistar a Santiago Abascal, no son…",Arcos de la Frontera.
paqueloleas,Valoremos+la CIENCIA,2019-10-10 23:59:33,RT @frandevox: Jamás he visto/oído a un líder de un partido político y aspirante a presidente del gobierno transmitir una sensación de SINC…,ESPAÑA
AirvotesFalcon,FalcóndeGalapagar,2019-10-10 23:59:33,"He de decir que me ha gustado, y mucho, @Santi_ABASCAL en @El_Hormiguero. En muchos temas me representa y coincido… https://t.co/g9uyBAHoB2",
mimado78,skatman,2019-10-10 23:59:33,"RT @FonsiLoaiza: Abascal se afilió al PP con 18 años y ha tenido 9 cargos. A sus 43 años no ha cotizado nunca fuera de la política, ha cobr…",
mjomate1,M Rosa,2019-10-10 23:59:32,"RT @AnabelAlonso_of: ""La mujer que quiera va a abortar pero no tendrá ayuda pública""
Santiago Abascal.
Osea, las que no tengan recursos se…",
Francis35247769,frango🇪🇸,2019-10-10 23:59:31,RT @natalia_sola6: @El_Hormiguero @Santi_ABASCAL @vox_es Qué piensa @Santi_ABASCAL del menosprecio al que los distintos gobiernos han somet…,
danisalvita,Daniel a secas de vox❤🇪🇦😘🇪🇦❤,2019-10-10 23:59:30,RT @salcedoibiza: La gente quejándose porq le han hecho una entrevista incómoda a Abascal? Pues a mí me parece bien q haga entrevistas así.…,"Getafe, España"
Megawif,Mega,2019-10-10 23:59:30,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Sí es verdad que el PSOE nos ha utilizado para meter miedo: han dicho barbaridades de no…",Embajadores fuera!
nestorsiurana,N14 ⚡,2019-10-10 23:59:29,"RT @FonsiLoaiza: Abascal se afilió al PP con 18 años y ha tenido 9 cargos. A sus 43 años no ha cotizado nunca fuera de la política, ha cobr…",Valencia 🇪🇸
pamplonauta80,Leyre,2019-10-10 23:59:28,"RT @tortondo: Muy apropiado el inicio de El Hormiguero con la visita de Abascal.
(Gracias a la colaboración de @noabraspaz y el apoyo moral…",
Megawif,Mega,2019-10-10 23:59:27,"RT @RodrigoDdeV13: Y al que no le guste, que no vote Vox pero mediastintas y bienquedas ya tenemos muchos.  Abascal firme en sus opiniones.…",Embajadores fuera!
7Reconquistador,711Reconquistador,2019-10-10 23:59:26,"RT @colinrivas: 🔴@Santi_ABASCAL EN DIRECTO EN @El_Hormiguero 

🗣@PabloMotosFans le pregunta sobre el #calentongueval y Amazonia 

😆 @Santi_…",
CIUDADANOKANE15,CIUDADANOVOX🇪🇸,2019-10-10 23:59:26,"RT @JuanfraEscudero: 🗣Santiago Abascal, @Santi_ABASCAL, está demostrando ser una persona con gran patriotismo, una persona buena, con un gr…",
OvazquezOlga,Olga Vazquez🎗🎗🎗🎗,2019-10-10 23:59:25,RT @gabrielrufian: Si habéis visto Joker en el cine podéis ver a Abascal en el Hormiguero.,
JusaFernando,Fernando_jusa,2019-10-10 23:59:25,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Sí, he toreado pero sin muerte. Y se me secó la boca más que en ésta entrevista"".

 📢 #S…",
pacoruizmarina1,Paco Rajato,2019-10-10 23:59:24,"RT @hermanntertsch: La autenticidad de @Santi_ABASCAL no tiene rival en la politica española. Nadie, ninguno, ni de lejos. https://t.co/nHB…",
CMV1015LB,MOÑACO DIABÓLICO 🇪🇸,2019-10-10 23:59:24,"RT @JONHCRISTO: Espero cuando vaya iglesias. Le preguntes por su apoyo a proetarras, Venezuela, por su ídolo Che Guevara, el odio hacia las…",España
cuscomita6254,Ramon 🇪🇦🇪🇦,2019-10-10 23:59:23,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""El otro día hablamos de la emergencia social que viven los españoles: la carestía de la…",Zamora/Madrid-Torrelodones.
Megawif,Mega,2019-10-10 23:59:22,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

"" (Sobre la eutanasia) Nos ponen la reflexión sobre Ramón Sampedro, un hombre en pleno us…",Embajadores fuera!
josemartinez_88,jose antonio,2019-10-10 23:59:20,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Somos los únicos que no permitiríamos que salgan los violadores de mujeres de las cárcel…","Almería, España"
TempleCaballero,Caballero del Temple,2019-10-10 23:59:20,"RT @litrileon: @El_Hormiguero @Santi_ABASCAL @vox_es Un ejemplo para España, tenía que haber más así
 @jusapol
#EquiparacionYa 
@interiorgo…",
Josebibcn,Josebibcn,2019-10-10 23:59:19,RT @eledhmel: Los que piden #BoicotElHormiguero porque va @Santi_ABASCAL son los mismos que vieron encantados a Otegi en distintos programa…,Barcelona
tomas_piza3,Tomás Hernández.,2019-10-10 23:59:18,"RT @CasoAislado_Es: Contundentes palabras de Santiago Abascal, presidente de @vox_es, durante su intervención en El Hormiguero. #SantiagoAb…",
gastmont1975,Gastmont1975,2019-10-10 23:59:18,@sonisand1 @El_Hormiguero @Santi_ABASCAL Un sicólogo te puede ayudar a superar tus problemas mentales,
S_I_L_L_O,O Noviño Xose,2019-10-10 23:59:18,"*Nadie*
*Nadie*
*Absolutamente nadie*

Abascal en el hormiguero:

Es que es mi conviccion",
VictorMartin_22,"Don't worry, BITCH",2019-10-10 23:59:17,RT @EuprepioPadula: No te pierdas las declaraciones de este homófobo sobre la adopción. A los homosexuales le tocan los niños que no quiere…,"Madrid, Comunidad de Madrid"
LauraDHM,Efímera.,2019-10-10 23:59:17,"RT @AnabelAlonso_of: ""La mujer que quiera va a abortar pero no tendrá ayuda pública""
Santiago Abascal.
Osea, las que no tengan recursos se…",En mitad de un concierto
AgoizS,Sociópata 💚📗❤💛❤,2019-10-10 23:59:17,"RT @3PuntosColega3: Pablo Motos se ha llevado una lección.Pretender hundir a alguien con odio,y retratarte a ti mismo como un ser triste y…","Sí, hombre"
JUANLU1974,Juanlu,2019-10-10 23:59:17,"RT @madrid13nadamas: Yo no veo El Hormiguero, no me gusta el programa y tampoco voto a VOX pero esta noche voy a ver a Abascal por 2 motivo…",
nxmjxnd,Heechul's thighs says stream #IThinkI,2019-10-10 23:59:17,RT @chuckiclampy: Increíble lo de El Hormiguero invitando a Santiago Abascal. Cómo ha bajado de calidad. Antes era un programa con debates…,SMstan
perezlealypunto,Carmen,2019-10-10 23:59:16,"RT @ivanedlm: Trending topics en twitter, ahora mismo
#1. #BoicotElHormiguero
#2. Pablo Motos
#3. Abascal

Qué bien lo vamos a pasar dispar…",
Jesusyfausto,jesus&fausto,2019-10-10 23:59:16,"@hermanntertsch @vox_es @Santi_ABASCAL Vaya, pero no caes en cuenta que vives en un país de cobardes....","Distrito Federal, México"
GascoJuanjo,Juanjo Gasco,2019-10-10 23:59:16,RT @LopedeV12206498: Después de ver a Abascal me reafirmo en mi voto. https://t.co/BK7AaE9F9U,Torrent (Valencia) España🇪🇸
