user,fecha,location,tweet,columna_traducida,TextBlob,compound
Cacique_bitch,2019-10-15 23:58:45,España,RT @Javi_alm: Hoy parece que a Pablo Motos no le toca justificar el llevar al programa a un comunista lleno de odio como tantos otros. #Err…,  javi alm  today it seems that pablo motos does not have to justify bringing a hateful communist to the program like so many others    err    ,positive,-0.1779
Cacique_bitch,2019-10-15 23:58:37,España,"RT @MariaJamardoC: El candidato de Más País hablando de creación de empleo y economía, sin tener ni la más remota idea de creación de emple…",  mariajamardoc  the candidate of more country talking about job creation and economics  without even having the slightest idea of job creation    ,positive,0.4939
AlvaroVazkez4,2019-10-15 23:58:35,España,"RT @MariaJamardoC: El candidato de Más País hablando de creación de empleo y economía, sin tener ni la más remota idea de creación de emple…",  mariajamardoc  the candidate of more country talking about job creation and economics  without even having the slightest idea of job creation    ,positive,0.4939
Cacique_bitch,2019-10-15 23:58:24,España,"RT @vargasotero: #ErrejónEH Pablo, preguntale por que cobraba de la universidad y no iba y no aparecia ni por alli. Igual que le preguntast…",  vargasotero    errejneh pablo  ask him why he charged from the university and did not go and did not appear there  just as you asked    ,positive,-0.2023
godoitos,2019-10-15 23:57:33,Manchester,"RT @MasRetiro_: ‼️Sentencia y Cataluña

Por encima de la voluntad de castigo hay una cosa más importante que es rehacer un pacto de convive…",  masretiro   sentencia y catalua above the will to punish there is one more important thing that is to redo a pact of living together    ,positive,-0.3197
rominaroy23,2019-10-15 23:57:07,,"RT @MariaJamardoC: ""En Venezuela algunas libertades se respetan porque la oposición da ruedas de prensa y eso en las dictaduras no pasa. Pe…",  mariajamardoc   quot in venezuela some freedoms are respected because the opposition gives press conferences and that in dictatorships does not happen  pe    ,positive,0.6486
elojo46,2019-10-15 23:56:18,"Santa Cruz de Tenerife, Islas ","RT @MariaJamardoC: El candidato de Más País hablando de creación de empleo y economía, sin tener ni la más remota idea de creación de emple…",  mariajamardoc  the candidate of more country talking about job creation and economics  without even having the slightest idea of job creation    ,positive,0.4939
rominaroy23,2019-10-15 23:56:16,,"RT @MariaJamardoC: El candidato de Más País hablando de creación de empleo y economía, sin tener ni la más remota idea de creación de emple…",  mariajamardoc  the candidate of more country talking about job creation and economics  without even having the slightest idea of job creation    ,positive,0.4939
Caballero_Xx,2019-10-15 23:56:01,#LosWrotinistas,"RT @abc_es: Íñigo Errejón: «No apoyaré a Pedro Sánchez si aplica el 155 en Cataluña, no hay necesidad» #ErrejónEH https://t.co/nSetCAwbbn",  abc es  igo errejn  i will not support pedro snchez if he applies  in catalonia  there is no need   errejneh    t co nsetcawbbn,positive,-0.5358
adriandiazeug,2019-10-15 23:55:45,🇮🇨,Su modelo laboral y económico es sencillamente una utopía. Ha quedado demostrado. #ErrejonEH,its labor and economic model is simply a utopia  it has been proven   errejoneh,positive,0.0
MafaldaVnzl,2019-10-15 23:55:45,La realidad,RT @Ivan_Pietri: El vídeo que Íñigo Errejón no quiere que veas #ErrejónEH #torradimissio #lamejeques  #tsunamidemocractic #SpainlsAFascistS…,  ivan pietri  the video that igo errejn doesn   t want you to see   errejneh  torradimissio  lamejeques  tsunamidemocractic   spainlsafascists,positive,0.0772
MafaldaVnzl,2019-10-15 23:54:50,La realidad,"RT @em_martinez7: No, Errejón no, la derecha no se ha apropiado de la idea de España, sois la izquierda los que una y otra vez renegáis de…",   em   no  errejn no  the right has not appropriated the idea of spain  it is the left that you again and again deny,positive,-0.7003
MafaldaVnzl,2019-10-15 23:54:40,La realidad,"RT @CoromotoCacique: ""Chávez y el chavismo son fuente de pedagogía política"" Errejón en 2013 cuando trabajaba en Caracas #ErrejonEH https:/…",  coromotocacique   quot chavez and chavismo are a source of political pedagogy quot  errejn in  when working in caracas  errejoneh        ,positive,0.0
ENDIKA59,2019-10-15 23:54:22,Leganes,RT @MrJoseRosales: Me ha encantado la visión de @ierrejon  sobre el reto histórico que afronta España: no podemos volver a llegar tarde a e…,  mrjoserosales  i loved the vision of  ierrejon about the historical challenge facing spain  we can   t be late for ae,positive,0.7351
MafaldaVnzl,2019-10-15 23:54:18,La realidad,RT @_esther_sanz: ¿Le han preguntado en #ErrejonEH cuántos trabajos en la empresa privada ha tenido?,   esther sanz  have you been asked in  errejoneh how many jobs in the private company have you had ,positive,0.0
MafaldaVnzl,2019-10-15 23:54:13,La realidad,RT @camba_pablo: ¿Le han preguntado a #ErrejonEH si es comunista? https://t.co/RJZiYVGuDx,  camba pablo  have you asked  errejoneh if you are a communist     t co rjziyvgudx,positive,0.0
Angela_BV,2019-10-15 23:54:07,Madrid,"RT @PaulMacca14: #ErrejonEH Errejón dice que no apoyaría a Sánchez para aplicar el 155....
Iñigo....Si Sánchez te dice , ""Iñigo, traeme un…",      errejoneh errejn says he wouldn   t support snchez to apply the       iigo      if snchez tells you   quot iigo  bring me a    ,positive,0.4019
yancloxxx,2019-10-15 23:53:56,,"RT @SergiLom03: Pablo Motos no le ha preguntado a su ""excelentísimo invitado"" por esto en #ErrejonEH, y ni os molestéis en que se lo pregun…",     pablo motos has not asked his  quot excellent guest quot  about this in  errejoneh  and do not bother to ask him    ,positive,0.6943
MafaldaVnzl,2019-10-15 23:53:53,La realidad,"RT @yedzenia: Venezuela está en una situación que yo no desearía para mi país, dice @ierrejon. Claro, para tu país no, pero bien que sigues…",  yedzenia  venezuela is in a situation that i would not want for my country  says  ierrejon  of course  not for your country  but good that you continue    ,positive,0.5774
MafaldaVnzl,2019-10-15 23:53:27,La realidad,"RT @Adolfo_ASEVED: Hay que ser muy miserable y despreciar mucho la democracia para afirmar después de todos los asesinatos, torturas, deten…",  adolfo aseved  you have to be very miserable and despise democracy a lot to affirm after all the murders  torture  arrest    ,negative,-0.9473
MafaldaVnzl,2019-10-15 23:53:18,La realidad,"RT @MAMariscal3: #ErrejónEH
—Pablo, cuando sea mayor voy a legalizar la marihuana.
—Y yo voy a comprarme un chalet.
—Jajajajaja.
—Pasa el p…",       errejneh  pablo  when i grow up i am going to legalize marijuana   quot and i   m going to buy a villa  quot   hahaha  pass the p    ,positive,0.5574
MafaldaVnzl,2019-10-15 23:53:11,La realidad,"RT @Nomaguanto: ¿Habéis visto a Motos preguntar a Errejón si es chavista nada más empezar la entrevista?
Yo tampoco.
#ErrejonEH",  nomaguanto  have you seen motos ask errejn if it   s chavista right after the interview  me neither   errejoneh,positive,0.0
MafaldaVnzl,2019-10-15 23:52:58,La realidad,"RT @agvalledor1: Pues nada, que se acabó el hormiguero #ErrejonEH y se le olvidó a Motos preguntarle por su beca. Y termina diciendo que se…",     well  nothing  that the anthill  errejoneh is over and motos forgot to ask about his scholarship  and he ends up saying that he,positive,0.2732
MafaldaVnzl,2019-10-15 23:52:51,La realidad,RT @pensador_esp: ¿Alguien más está percibiendo la diferencia de actitudes en @El_Hormiguero del señor entrevistador con @ierrejon respecto…,  pensador esp  is anyone else perceiving the difference in attitudes in  el hormiguero of the interviewer with  ierrejon respect    ,positive,0.4767
MafaldaVnzl,2019-10-15 23:52:38,La realidad,"@MariaJamardoC Es que esa oposición no es oposición, es una pantomima de oposición comprada por el régimen para que… https://t.co/YHhbBrrdLO", mariajamardoc it is that this opposition is not opposition  it is a pantomime of opposition bought by the regime so that    t co yhhbbrrdlo,positive,0.0
Adriian1407,2019-10-15 23:52:09,Reino de España ,RT @Javi_alm: Hoy parece que a Pablo Motos no le toca justificar el llevar al programa a un comunista lleno de odio como tantos otros. #Err…,  javi alm  today it seems that pablo motos does not have to justify bringing a hateful communist to the program like so many others    err    ,positive,-0.1779
patriayrey,2019-10-15 23:51:44,Madrid. ESPAÑA,"RT @MariaJamardoC: ""Fumé porros de chaval, como todo el mundo. Pero yo soy más de salado que de dulce"", Errejón dixit. Pues como todo el mu…",  mariajamardoc   quot i smoked kid   s porros  like everyone else  but i   m more salty than sweet  quot  errejn dixit  well  like all the mu    ,positive,0.901
MafaldaVnzl,2019-10-15 23:50:58,La realidad,"RT @MariaJamardoC: ""En Venezuela algunas libertades se respetan porque la oposición da ruedas de prensa y eso en las dictaduras no pasa. Pe…",  mariajamardoc   quot in venezuela some freedoms are respected because the opposition gives press conferences and that in dictatorships does not happen  pe    ,positive,0.6486
