Aletheia_Cadie,2019-10-10 23:59:59,"Valencia, España","RT @jonviene: Hablando sobre la adopción por parte de personas homosexuales, Abascal prácticamente ha dicho: ""Hombre, si les sobra un niño…"
JusaFernando,2019-10-10 23:59:59,,"RT @ManhattanManOne: No he podido ver el programa, pero este corte de @Santi_ABASCAL “Yo donaría  primero para el Amazonas, porque la obra…"
EEvadidac,2019-10-10 23:59:58,,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Nosotros defendemos la ley de legítima defensa. Que una persona pueda defender su propie…"
Jaferez76,2019-10-10 23:59:56,,"RT @elentirvigo: Pablo Motos es el perfecto progre: llama ""derecho"" a liquidar a los hijos por nacer (los llama ""cigotos"", sic) y dice que…"
gcs9s,2019-10-10 23:59:56,,"RT @_Sapientiae: Cuando te mola más un comunista que no tiene pudor en levantar el puño, que homenajea al Che homófobo, que ríe con azotar…"
ColchoneroG,2019-10-10 23:59:56,,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Somos los únicos que no permitiríamos que salgan los violadores de mujeres de las cárcel…"
MarinaPizcopi,2019-10-10 23:59:55,,"RT @luciacuervas: Abascal: ""Yo también represento al colectivo homosexual, no se por que se nos acusa de homófobos""  #SantiagoAbascalEH htt…"
SilvanaAloap,2019-10-10 23:59:55,,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Somos los únicos que no permitiríamos que salgan los violadores de mujeres de las cárcel…"
prodiastur,2019-10-10 23:59:54,,"RT @isaacj: Para mí la frase de la noche ha sido:

""No he venido a convencerte sino a representar a los que piensan como yo""

#SantiagoAbas…"
MariaBB37965379,2019-10-10 23:59:53,"Barcelona,Reino de España 🇪🇸","RT @CasoAislado_Es: Contundentes palabras de Santiago Abascal, presidente de @vox_es, durante su intervención en El Hormiguero. #SantiagoAb…"
karloxt1,2019-10-10 23:59:53,Arganda del Rey,"RT @isaacj: Para mí la frase de la noche ha sido:

""No he venido a convencerte sino a representar a los que piensan como yo""

#SantiagoAbas…"
mayca02,2019-10-10 23:59:51,,"RT @amandaschez: Resumen de la entrevista de Pablo Motos:

- ¿Eres facha?
- ¿Te dan asco los homosexuales?
- ¿Vas a echar a todos los inmig…"
iopp,2019-10-10 23:59:51,"Gatineau, Québec","RT @ManhattanManOne: No he podido ver el programa, pero este corte de @Santi_ABASCAL “Yo donaría  primero para el Amazonas, porque la obra…"
__Haridian__,2019-10-10 23:59:49,,RT @nacholeyun: Coge Pablo Motos y dedica los 3 primeros minutos del programa más esperado hasta ahora a desmontar las mentiras del @PSOE y…
isramadrigal,2019-10-10 23:59:49,"Pinto (Madrid), España","RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Ordenaría la detención de Torra, la suspensión de la autonomía de Cataluña, cerrar TV3 y…"
Megawif,2019-10-10 23:59:48,Embajadores fuera!,RT @Brand_Moody: 24.000.000 más de € para crear 120 plazas de MENAS solo en la comunidad de Madrid + gastos médicos pagas y manutención. Qu…
Moseguello,2019-10-10 23:59:47,España,RT @MuyLiberal: La diferencia entre @Santi_ABASCAL y los demás es que él no pretende agradar a todo el mundo ni pide el voto de todos. @vox…
8_albi,2019-10-10 23:59:46,"Gijón, España","RT @luciacuervas: Abascal: ""Yo también represento al colectivo homosexual, no se por que se nos acusa de homófobos""  #SantiagoAbascalEH htt…"
PaulaDelgado0,2019-10-10 23:59:46,Málaga,RT @albertoluni: Pablo Motos cada vez que intenta dejar en evidencia a Abascal y no lo consigue #SantiagoAbascalEH https://t.co/eWaZckMtn8
stefanysasso,2019-10-10 23:59:43,,RT @JuanfraEscudero: 🗣Dice Abascal en El Hormiguero que defendería la frontera de Melilla con muros más grandes si es necesario y mandaría…
Megawif,2019-10-10 23:59:43,Embajadores fuera!,RT @Ivan_de_Vargas: Estoy orgulloso de #SantiagoAbascalEH. Me representa. Su entrevista en @El_Hormiguero es la más agresiva que ha realiza…
Jackie_yo_soy,2019-10-10 23:59:43,,"RT @PorHispania: #santiagoabascalEH

Una buena persona, sincera, legal, respetuosa. Una persona que mira a los ojos.

Ha bordado su presenc…"
VoxEuropas,2019-10-10 23:59:42,España,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Nosotros defendemos la ley de legítima defensa. Que una persona pueda defender su propie…"
robertosssrf,2019-10-10 23:59:41,Leon,"RT @Javi__ESP: El zasca del Amazonas se ha sentido hasta en la luna: ""Salvaria antes al Amazonas que a NotreDame, es más importante la obra…"
QUASCODAIS1,2019-10-10 23:59:41,,"RT @damepacienciaya: #SantiagoAbascalEH
Teo después de ver a Abascal en el Hormiguero https://t.co/HgQqgGNUTk"
pallaron12,2019-10-10 23:59:41,"Asturias ,Aviles.",RT @JOSEMANUELSOTO1: Aqui sentado para ver a @Santi_ABASCAL en @El_Hormiguero y me entero de q el único líder q no ha querido ir es @sanche…
rickygg17,2019-10-10 23:59:39,,"RT @GandalfGris_: Qué relajadito Pablo Motos con Santiago Abascal, igualito que con Pablenin, ¿eh? #SantiagoAbascalEH https://t.co/ucZpQbHl…"
davidruiz56,2019-10-10 23:59:39,Buenos Aires - Argentina,"RT @vox_es: 📺 @Santi_ABASCAL en @El_Hormiguero 🐜

""Ordenaría la detención de Torra, la suspensión de la autonomía de Cataluña, cerrar TV3 y…"
nosenadaya,2019-10-10 23:59:39,,"RT @AnabelAlonso_of: ""Si hay un niño que nadie quiere y lo quiere adoptar una pareja gay, pues bueno, pero siempre es preferible  un hombre…"
PaulaDelgado0,2019-10-10 23:59:38,Málaga,Que vergüenza de entrevista la de Pablo Motos a Santiago Abascal que poco respeto y que poca profesionalidad.  #SantiagoAbascalEH
msmoviedo,2019-10-10 23:59:36,"Oviedo, España","RT @Mazzinguerzett1: Y después de está gran entrevista que estoy viendo de Santiago Abascal, sin tapujos, sin caer en las trampas y sin mie…"
ociocenter,2019-10-10 23:59:36,,"RT @TuiteroApostol: Intentento de tirar por el suelo a @Santi_ABASCAL  solo consiguió que luciera aún más un hombre con valores, lo que no…"
